id,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
ALICIA,Brgy. Alicia,Medium,3.16,6119,0.298,51,38,13,14.66143356,121.0249326
AMIHAN,Brgy. Amihan,Low,0.9,3513,0.272,29,22,7,14.63224523,121.0684271
APOLONIO_SAMSON,Brgy. Apolonio Samson,Low,2.67,33629,0.23,280,210,70,14.65464984,121.0092136
BAESA,Brgy. Baesa,Low,1.85,55328,0.228,460,345,115,14.66964717,121.0115635
BAGBAG,Brgy. Bagbag,High,4.37,64653,0.207,538,404,134,14.69723288,121.0311027
BAGONG_LIPUNAN_NG_CRAME,Brgy. Bagong Lipunan ng Crame,Low,1.17,13630,0.112,113,73,40,14.61065581,121.0508196
BAGONG_PAG_ASA,Brgy. Bagong Pag-asa,Low,2.04,29389,0.089,245,184,61,14.65509725,121.0349045
BAGONG_SILANGAN,Brgy. Bagong Silangan,Low,2.13,106886,0.096,889,756,133,14.70981214,121.1134087
BAGUMBAYAN,Brgy. Bagumbayan,Low,0.94,22147,0.214,184,138,46,14.606808,121.0814842
BAGUMBUHAY,Brgy. Bagumbuhay,Low,1.57,6681,0.242,56,42,14,14.62515679,121.0651896
BAHAY_TORO,Brgy. Bahay Toro,Medium,3.68,59639,0.283,496,372,124,14.66746171,121.0286049
BALINGASA,Brgy. Balingasa,Low,2.09,19260,0.07,160,104,56,14.65164191,121.0016195
BALUMBATO,Brgy. Balumbato,Low,1.51,6991,0.165,58,38,20,14.66316234,121.0029912
BATASAN_HILLS,Brgy. Batasan Hills,Low,2.68,166572,0.114,1386,1040,346,14.68343539,121.0981865
BAYANIHAN,Brgy. Bayanihan,Low,1.16,613,0.207,5,3,2,14.61540978,121.0695278
BLUE_RIDGE_A,Brgy. Blue Ridge A,No Flood,0.01,1534,0.072,13,8,5,14.61903448,121.0735326
BLUE_RIDGE_B,Brgy. Blue Ridge B,Low,0.88,1071,0.155,9,6,3,14.61788141,121.07541
BOTOCAN,Brgy. Botocan,Low,0.79,7501,0.092,62,40,22,14.6381089,121.0636577
BUNGAD,Brgy. Bungad,Low,2.06,7014,0.082,58,44,14,14.64997493,121.0246487
CAPRI,Brgy. Capri,High,5.22,12903,0.693,107,91,16,14.71679882,121.028477
CENTRAL,Brgy. Central,Low,2.34,19331,0.095,161,121,40,14.6463009,121.0486307
CAMP_AGUINALDO,Brgy. Camp Aguinaldo,No Flood,0.39,3269,0,27,18,9,14.60726587,121.0637277
COMMONWEALTH,Brgy. Commonwealth,Low,2.39,213229,0.053,1774,1330,444,14.70052769,121.083798
CULIAT,Brgy. Culiat,Medium,3.12,67804,0.231,564,423,141,14.66777627,121.054947
DAMAR,Brgy. Damar,Low,0.83,952,0.214,8,5,3,14.64680629,121.0008772
DAMAYAN,Brgy. Damayan,Medium,3.1,6007,0.323,50,38,12,14.63784834,121.0139472
DAMAYANG_LAGI,Brgy. Damayang Lagi,Low,2.64,19466,0.258,162,122,40,14.61605037,121.0232706
DEL_MONTE,Brgy. Del Monte,Low,2.37,10595,0.259,88,66,22,14.64326124,121.015046
DIOQUINO_ZOBEL,Brgy. Dioquino Zobel,No Flood,0.03,1805,0.069,15,11,4,14.61983145,121.0647381
DON_MANUEL,Brgy. Don Manuel,Low,0.72,1728,0.276,14,9,5,14.61634956,121.0051836
DONA_AURORA,Brgy. Dona Aurora,No Flood,0.43,4221,0.029,35,23,12,14.61624693,121.0091634
DONA_IMELDA,Brgy. Dona Imelda,Low,1.81,11724,0.222,98,83,15,14.61300607,121.0172059
DONA_JOSEFA,Brgy. Dona Josefa,No Flood,0.48,1857,0.011,15,10,5,14.62001076,121.0067754
DUYAN_DUYAN,Brgy. Duyan-Duyan,Low,0.56,1728,0.068,28,18,10,14.62999746,121.0671588
E_RODRIGUEZ,Brgy. E. Rodriguez,Low,1.61,17363,0.143,145,109,36,14.62633826,121.052093
EAST_KAMIAS,Brgy. East Kamias,Low,1.7,6395,0.254,53,45,8,14.63219268,121.0561699
ESCOBA_1,Brgy. Escopa 1,No Flood,0.07,2110,0,18,12,6,14.62440321,121.0734585
ESCOBA_2,Brgy. Escopa 2,No Flood,0.08,1683,0,14,9,5,14.62431164,121.074453
ESCOBA_3,Brgy. Escopa 3,No Flood,0.17,7985,0,66,43,23,14.62700828,121.0732587
ESCOBA_4,Brgy. Escopa 4,No Flood,0.05,1837,0,15,10,5,14.62564591,121.0743872
FAIRVIEW,Brgy. Fairview,High,4.49,61813,0.058,514,386,128,14.70245239,121.0687383
GREATER_LAGRO,Brgy. Greater Lagro,Medium,2.99,23569,0.081,196,147,49,14.72363061,121.0633776
GULOD,Brgy. Gulod,High,4.72,62542,0.118,520,390,130,14.71159326,121.0409845
HOLY_SPIRIT,Brgy. Holy Spirit,Low,0.83,111901,0.065,931,605,326,14.684883,121.0779885
HORSESHOE,Brgy. Horseshoe,Low,1.61,2866,0.133,24,18,6,14.61259045,121.0419452
IMMACULATE_CONCEPTION,Brgy. Immaculate Conception,Low,1.9,8169,0.087,68,51,17,14.62236934,121.0443232
KALIGAYAHAN,Brgy. Kaligayahan,Low,2.13,60462,0.052,503,377,126,14.73457972,121.0459234
KALUSUGAN,Brgy. Kalusugan,Low,2.18,4786,0.009,40,30,10,14.62292118,121.0213597
KAMUNING,Brgy. Kamuning,Low,2.03,14258,0.224,119,89,30,14.62777997,121.0397147
KATIPUNAN,Brgy. Katipunan,Medium,2.97,10508,0.116,87,74,13,14.65619492,121.0171765
