id,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
ALICIA,Brgy. Alicia,Low,2.64,6119,0.298,51,38,13,14.66143356,121.0249326
AMIHAN,Brgy. Amihan,Low,1.89,3513,0.272,29,22,7,14.63224523,121.0684271
APOLONIO_SAMSON,Brgy. Apolonio Samson,Low,2.13,33629,0.23,280,210,70,14.65464984,121.0092136
BAESA,Brgy. Baesa,Low,1.37,55328,0.228,460,345,115,14.66964717,121.0115635
BAGBAG,Brgy. Bagbag,Low,2.04,64653,0.207,538,404,134,14.69723288,121.0311027
BAGONG_LIPUNAN_NG_CRAME,Brgy. Bagong Lipunan ng Crame,Low,2.13,13630,0.112,113,73,40,14.61065581,121.0508196
BAGONG_PAG_ASA,Brgy. Bagong Pag-asa,Low,2.01,29389,0.089,245,184,61,14.65509725,121.0349045
BAGONG_SILANGAN,Brgy. Bagong Silangan,Low,1.63,106886,0.096,889,756,133,14.70981214,121.1134087
BAGUMBAYAN,Brgy. Bagumbayan,Medium,4,22147,0.214,184,138,46,14.606808,121.0814842
BAGUMBUHAY,Brgy. Bagumbuhay,Medium,3.28,6681,0.242,56,42,14,14.62515679,121.0651896
BAHAY_TORO,Brgy. Bahay Toro,Medium,3.14,59639,0.283,496,372,124,14.66746171,121.0286049
BALINGASA,Brgy. Balingasa,Low,1.69,19260,0.07,160,104,56,14.65164191,121.0016195
BALUMBATO,Brgy. Balumbato,Low,0.98,6991,0.165,58,38,20,14.66316234,121.0029912
BATASAN_HILLS,Brgy. Batasan Hills,Low,2.53,166572,0.114,1386,1040,346,14.68343539,121.0981865
BAYANIHAN,Brgy. Bayanihan,Low,2.54,613,0.207,5,3,2,14.61540978,121.0695278
BLUE_RIDGE_A,Brgy. Blue Ridge A,No Flood,0.04,1534,0.072,13,8,5,14.61903448,121.0735326
BLUE_RIDGE_B,Brgy. Blue Ridge B,Low,2.24,1071,0.155,9,6,3,14.61788141,121.07541
BOTOCAN,Brgy. Botocan,Low,1.13,7501,0.092,62,40,22,14.6381089,121.0636577
BUNGAD,Brgy. Bungad,Low,2.11,7014,0.082,58,44,14,14.64997493,121.0246487
CAPRI,Brgy. Capri,Low,1.4,12903,0.693,107,91,16,14.71679882,121.028477
CENTRAL,Brgy. Central,Medium,3.05,19331,0.095,161,121,40,14.6463009,121.0486307
CAMP_AGUINALDO,Brgy. Camp Aguinaldo,Low,1.3,3269,0,27,18,9,14.60726587,121.0637277
COMMONWEALTH,Brgy. Commonwealth,Low,1.7,213229,0.053,1774,1330,444,14.70052769,121.083798
CULIAT,Brgy. Culiat,Medium,3.18,67804,0.231,564,423,141,14.66777627,121.054947
DAMAR,Brgy. Damar,Low,0.78,952,0.214,8,5,3,14.64680629,121.0008772
DAMAYAN,Brgy. Damayan,Medium,3.29,6007,0.323,50,38,12,14.63784834,121.0139472
DAMAYANG_LAGI,Brgy. Damayang Lagi,Medium,3.33,19466,0.258,162,122,40,14.61605037,121.0232706
DEL_MONTE,Brgy. Del Monte,Low,2.39,10595,0.259,88,66,22,14.64326124,121.015046
DIOQUINO_ZOBEL,Brgy. Dioquino Zobel,No Flood,0.05,1805,0.069,15,11,4,14.61983145,121.0647381
