id,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
ALICIA,Brgy. Alicia,Medium,3.06,6119,0.298,51,38,13,14.66143356,121.0249326
AMIHAN,Brgy. Amihan,Low,1.04,3513,0.272,29,22,7,14.63224523,121.0684271
APOLONIO_SAMSON,Brgy. Apolonio Samson,Low,2.49,33629,0.23,280,210,70,14.65464984,121.0092136
BAESA,Brgy. Baesa,Low,1.72,55328,0.228,460,345,115,14.66964717,121.0115635
BAGBAG,Brgy. Bagbag,High,4.12,64653,0.207,538,404,134,14.69723288,121.0311027
BAGONG_LIPUNAN_NG_CRAME,Brgy. Bagong Lipunan ng Crame,Low,1.18,13630,0.112,113,73,40,14.61065581,121.0508196
BAGONG_PAG_ASA,Brgy. Bagong Pag-asa,Low,2.28,29389,0.089,245,184,61,14.65509725,121.0349045
BAGONG_SILANGAN,Brgy. Bagong Silangan,Low,2.33,106886,0.096,889,756,133,14.70981214,121.1134087
BAGUMBAYAN,Brgy. Bagumbayan,Low,0.95,22147,0.214,184,138,46,14.606808,121.0814842
BAGUMBUHAY,Brgy. Bagumbuhay,Low,1.72,6681,0.242,56,42,14,14.62515679,121.0651896
BAHAY_TORO,Brgy. Bahay Toro,Medium,3.58,59639,0.283,496,372,124,14.66746171,121.0286049
BALINGASA,Brgy. Balingasa,Low,1.95,19260,0.07,160,104,56,14.65164191,121.0016195
BALUMBATO,Brgy. Balumbato,Low,1.3,6991,0.165,58,38,20,14.66316234,121.0029912
BATASAN_HILLS,Brgy. Batasan Hills,Medium,2.79,166572,0.114,1386,1040,346,14.68343539,121.0981865
BAYANIHAN,Brgy. Bayanihan,Low,1.15,613,0.207,5,3,2,14.61540978,121.0695278
BLUE_RIDGE_A,Brgy. Blue Ridge A,No Flood,0.07,1534,0.072,13,8,5,14.61903448,121.0735326
BLUE_RIDGE_B,Brgy. Blue Ridge B,Low,0.75,1071,0.155,9,6,3,14.61788141,121.07541
BOTOCAN,Brgy. Botocan,Low,0.85,7501,0.092,62,40,22,14.6381089,121.0636577
BUNGAD,Brgy. Bungad,Low,2.03,7014,0.082,58,44,14,14.64997493,121.0246487
